Name,UrlSrc,UrlDst,EndPointNameExport,EndPointNameImport,ExportLibrary,ImportLibrary
PP02-Rondonolopis,https://odbsa.sharepoint.com/teams/PP02-Rondonpolis,https://rotadooestebr.sharepoint.com/teams/PP02-Rondonpolis,PP02-Rondonolopis - OEC,PP02-Rondonolopis - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP03 - CampoVerde,https://odbsa.sharepoint.com/teams/PP03-CampoVerde,https://rotadooestebr.sharepoint.com/teams/PP03-CampoVerde,PP03 - CampoVerde - OEC,PP03 - CampoVerde - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP04 - Cuiaba,https://odbsa.sharepoint.com/teams/PP04-Cuiaba,https://rotadooestebr.sharepoint.com/teams/PP04-Cuiaba,PP04 - Cuiaba - OEC,PP04 - Cuiaba - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP05 - Jangada,https://odbsa.sharepoint.com/teams/PP05-Jangada,https://rotadooestebr.sharepoint.com/teams/PP05-Jangada,PP05 - Jangada - OEC,PP05 - Jangada - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP06 - Nobres,https://odbsa.sharepoint.com/teams/PP06-Nobres,https://rotadooestebr.sharepoint.com/teams/PP06-Nobres,PP06 - Nobres - OEC,PP06 - Nobres - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP07 - Nova Mutum,https://odbsa.sharepoint.com/teams/PP07-NovaMutum,https://rotadooestebr.sharepoint.com/teams/PP07-NovaMutum,PP07 - Nova Mutum - OEC,PP07 - Nova Mutum - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP08 - Lucas do Rio Verde,https://odbsa.sharepoint.com/teams/PP08-LucasdoRioVerde,https://rotadooestebr.sharepoint.com/teams/PP08-LucasdoRioVerde,PP08 - Lucas do Rio Verde - OEC,PP08 - Lucas do Rio Verde - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PP09 - Sorriso,https://odbsa.sharepoint.com/teams/PP09-Sorriso,https://rotadooestebr.sharepoint.com/teams/PP09-Sorriso,PP09 - Sorriso - OEC,PP09 - Sorriso - CRO,PreservationHoldLibrary,PreservationHoldLibrary
PPV01 - Rondonópolis,https://odbsa.sharepoint.com/teams/PPV01-Rondonpolis,https://rotadooestebr.sharepoint.com/teams/PPV01-Rondonpolis,PPV01 - Rondonópolis - OEC,PPV01 - Rondonópolis - CRO,PreservationHoldLibrary,PreservationHoldLibrary
SAU03 - Rondonópolis,https://odbsa.sharepoint.com/teams/SAU03-Rondonpolis,https://rotadooestebr.sharepoint.com/teams/SAU03-Rondonpolis,SAU03 - Rondonópolis - OEC,SAU03 - Rondonópolis - CRO,PreservationHoldLibrary,PreservationHoldLibrary
SAU08 - Varzea Grande,https://odbsa.sharepoint.com/teams/SAU08-VarzeaGrande,https://rotadooestebr.sharepoint.com/teams/SAU08-VarzeaGrande,SAU08 - Varzea Grande - OEC,SAU08 - Varzea Grande - CRO,PreservationHoldLibrary,PreservationHoldLibrary
SAU15 - Lucas do Rio Verde,https://odbsa.sharepoint.com/teams/SAU15-LucasdoRioVerde,https://rotadooestebr.sharepoint.com/teams/SAU15-LucasdoRioVerde,SAU15 - Lucas do Rio Verde - OEC,SAU15 - Lucas do Rio Verde - CRO,PreservationHoldLibrary,PreservationHoldLibrary
Diretos O2,https://odbsa.sharepoint.com/teams/DiretosO2cpia,https://rotadooestebr.sharepoint.com/teams/DiretosO2cpia,Diretos O2 - OEC,Diretos O2 - CRO,Documentos Compartilhados,Documentos Compartilhados
